Customers,Quantity,Date,Total Payment in TND
Attijari Bank,58,2005-08-06,640842
Banque de Tunisie (BT),144,2018-04-13,1743840
Banque Tuniso-Libyenne (BTL),136,2018-06-11,2698104
Banque Nationale Agricole (BNA),60,2012-10-15,971220
La Poste Tunisienne,146,2007-12-19,2055242
Banque Tuniso-Libyenne (BTL),88,2002-10-24,1557248
Banque de Tunisie (BT),158,2004-03-14,2626592
Banque de l'Habitat (BH),49,2016-03-17,903854
Banque de l'Habitat (BH),164,2008-02-14,2924284
Banque Internationale Arabe de Tunisie (BIAT),36,2004-10-25,688356
Attijari Bank,104,2004-06-05,1375192
Banque Nationale Agricole (BNA),157,2005-08-09,2885817
Banque de l'Habitat (BH),169,2007-08-24,1708421
Banque Internationale Arabe de Tunisie (BIAT),146,2019-04-08,1774922
Arab Tunisian Bank (ATB),102,2020-01-24,1715640
Banque de Tunisie (BT),98,2003-09-09,992936
Banque de l'Habitat (BH),139,2018-02-15,2162840
Banque Nationale Agricole (BNA),47,2019-09-11,925994
Arab Tunisian Bank (ATB),147,2023-04-22,1522773
Arab Banking Corporation (ABC),189,2006-09-04,2276694
Banque Nationale Agricole (BNA),55,2002-06-21,828520
Banque de l'Habitat (BH),103,2013-05-08,1451682
Banque de l'Habitat (BH),78,2006-05-12,1132170
La Poste Tunisienne,30,2019-09-01,533910
Arab Tunisian Bank (ATB),73,2005-01-29,785261
Banque Internationale Arabe de Tunisie (BIAT),170,2021-06-07,1954150
Banque Internationale Arabe de Tunisie (BIAT),191,2010-09-16,2635036
La Poste Tunisienne,146,2016-05-10,2265920
Banque Internationale Arabe de Tunisie (BIAT),113,2010-06-26,1418489
Banque de Tunisie (BT),176,2011-07-05,1762640
Banque de Tunisie (BT),148,2018-06-03,2726012
Arab Banking Corporation (ABC),101,2008-11-13,1928292
Banque de Tunisie (BT),32,2023-12-30,322176
Banque Tuniso-Libyenne (BTL),64,2017-07-10,889024
Banque de Tunisie (BT),199,2023-12-08,2123728
Banque de Tunisie (BT),125,2019-10-28,1810375
La Poste Tunisienne,30,2008-10-12,450930
Amen Bank (AB),125,2008-11-07,2424625
Attijari Bank,192,2003-09-17,2400576
Banque Internationale Arabe de Tunisie (BIAT),167,2015-02-07,2507672
Banque Nationale Agricole (BNA),81,2013-02-10,1208763
Arab Banking Corporation (ABC),198,2007-03-16,2181564
Banque Tuniso-Libyenne (BTL),137,2003-04-25,1926905
Arab Banking Corporation (ABC),80,2012-04-09,1174640
Banque Internationale Arabe de Tunisie (BIAT),142,2016-04-27,1849692
Arab Banking Corporation (ABC),128,2003-10-30,1370880
Banque de Tunisie (BT),167,2006-01-17,1851195
Arab Tunisian Bank (ATB),33,2023-05-03,476487
La Poste Tunisienne,98,2019-05-16,1803886
Banque de Tunisie (BT),89,2023-10-16,1724108
Banque Nationale Agricole (BNA),136,2019-03-13,1699728
Banque de l'Habitat (BH),191,2009-03-20,2067002
Arab Banking Corporation (ABC),144,2014-09-07,1564992
Banque de Tunisie (BT),117,2009-12-26,2058381
Banque de l'Habitat (BH),56,2018-11-04,565600
La Poste Tunisienne,128,2001-07-12,1423232
Banque de l'Habitat (BH),136,2010-06-28,1459552
Banque Tuniso-Libyenne (BTL),178,2019-11-08,2556258
La Poste Tunisienne,20,2019-05-30,372460
Banque Tuniso-Libyenne (BTL),177,2011-01-20,2609865
La Poste Tunisienne,135,2021-04-08,1904985
Banque de l'Habitat (BH),125,2012-12-22,2161625
Arab Banking Corporation (ABC),117,2019-01-05,1721187
Banque Internationale Arabe de Tunisie (BIAT),31,2016-08-15,523435
La Poste Tunisienne,69,2004-01-23,897345
Banque de Tunisie (BT),62,2016-07-29,856530
Banque de l'Habitat (BH),25,2016-07-26,448700
Attijari Bank,157,2003-02-18,2059840
Banque de l'Habitat (BH),175,2012-06-08,2740850
Arab Banking Corporation (ABC),194,2016-06-22,2881676
Attijari Bank,191,2004-04-09,3364274
Banque de Tunisie (BT),35,2022-10-12,618275
Banque Nationale Agricole (BNA),183,2007-01-09,3046950
Arab Banking Corporation (ABC),30,2023-04-09,542730
Banque Nationale Agricole (BNA),155,2018-07-01,2427920
Arab Tunisian Bank (ATB),34,2019-07-01,617134
Arab Tunisian Bank (ATB),100,2010-02-08,1773000
Banque Internationale Arabe de Tunisie (BIAT),183,2020-04-14,2551752
Banque Nationale Agricole (BNA),158,2006-11-22,2249762
Banque Internationale Arabe de Tunisie (BIAT),154,2014-08-23,2350348
Arab Tunisian Bank (ATB),47,2012-06-30,858878
Banque de Tunisie (BT),170,2006-10-14,3084650
Arab Banking Corporation (ABC),70,2013-09-15,1221780
Arab Tunisian Bank (ATB),160,2003-03-25,2807840
Arab Banking Corporation (ABC),147,2001-05-13,1614795
Banque Tuniso-Libyenne (BTL),54,2007-06-30,761778
Amen Bank (AB),108,2015-08-20,1695924
La Poste Tunisienne,62,2004-12-01,824662
Banque Tuniso-Libyenne (BTL),130,2023-08-17,2425540
Arab Tunisian Bank (ATB),197,2005-02-13,2887626
Banque Nationale Agricole (BNA),168,2013-07-08,2268672
Banque de l'Habitat (BH),173,2011-04-18,3430244
Attijari Bank,36,2008-06-11,467352
La Poste Tunisienne,194,2000-12-26,3671062
Banque de Tunisie (BT),105,2009-12-04,1210755
Amen Bank (AB),124,2002-10-15,2021696
Amen Bank (AB),176,2003-01-11,3386768
Banque Internationale Arabe de Tunisie (BIAT),116,2012-08-22,2018168
Arab Tunisian Bank (ATB),96,2008-07-18,1634112
Arab Tunisian Bank (ATB),78,2011-10-07,909324
Arab Banking Corporation (ABC),174,2016-08-27,3335754
La Poste Tunisienne,152,2015-08-21,1773536
La Poste Tunisienne,104,2014-01-12,1597336
Amen Bank (AB),38,2003-04-08,708016
Arab Banking Corporation (ABC),176,2009-06-27,2263360
Banque Tuniso-Libyenne (BTL),124,2022-12-17,2197156
Arab Tunisian Bank (ATB),112,2007-04-21,1920800
Banque de l'Habitat (BH),85,2002-09-23,1633700
Banque Internationale Arabe de Tunisie (BIAT),22,2011-02-27,304040
La Poste Tunisienne,113,2012-11-29,1481543
Banque de Tunisie (BT),195,2023-01-22,3057015
Banque Tuniso-Libyenne (BTL),126,2019-06-07,1749762
Arab Tunisian Bank (ATB),84,2003-05-27,1441272
Amen Bank (AB),91,2000-10-14,1234961
Attijari Bank,133,2015-10-30,1690962
Banque Nationale Agricole (BNA),175,2015-02-18,3396925
Banque de l'Habitat (BH),152,2006-07-26,2900768
Banque Nationale Agricole (BNA),95,2009-02-13,1140285
Arab Tunisian Bank (ATB),190,2018-01-15,2100260
Attijari Bank,179,2022-07-11,2098775
Banque de l'Habitat (BH),104,2001-12-14,1320176
Arab Banking Corporation (ABC),188,2005-06-07,2104660
Arab Banking Corporation (ABC),25,2003-01-20,396400
Arab Tunisian Bank (ATB),120,2004-03-23,2394120
La Poste Tunisienne,43,2007-07-04,729968
Banque Internationale Arabe de Tunisie (BIAT),177,2023-06-20,2548977
Amen Bank (AB),136,2015-02-23,1418888
Banque de l'Habitat (BH),113,2014-11-07,1390917
Amen Bank (AB),54,2020-12-11,722844
Arab Tunisian Bank (ATB),58,2002-01-03,870116
La Poste Tunisienne,199,2018-02-07,3063207
Amen Bank (AB),75,2020-01-25,1301475
La Poste Tunisienne,116,2000-09-20,2243208
Amen Bank (AB),91,2005-11-02,1329510
Arab Tunisian Bank (ATB),100,2011-06-28,1305200
Attijari Bank,124,2014-09-05,2294372
Arab Banking Corporation (ABC),45,2020-06-21,723240
Banque de l'Habitat (BH),194,2004-10-19,2434894
Arab Banking Corporation (ABC),69,2022-12-24,1340946
La Poste Tunisienne,196,2002-08-06,2107980
Amen Bank (AB),162,2008-08-17,2591676
Amen Bank (AB),88,2023-11-15,963864
Banque Tuniso-Libyenne (BTL),152,2015-02-19,2399168
Arab Banking Corporation (ABC),175,2010-10-06,3438050
Amen Bank (AB),192,2005-03-19,2311104
Banque Internationale Arabe de Tunisie (BIAT),88,2003-11-13,1647536
Banque de Tunisie (BT),154,2000-12-14,2508198
Amen Bank (AB),190,2011-04-14,2934170
Attijari Bank,172,2021-02-14,2679416
Attijari Bank,76,2022-04-04,1059364
Banque de l'Habitat (BH),72,2020-02-21,1373256
Banque Tuniso-Libyenne (BTL),67,2008-06-22,886544
Banque Internationale Arabe de Tunisie (BIAT),68,2007-01-02,810832
Attijari Bank,139,2005-07-01,1604199
Banque Nationale Agricole (BNA),179,2006-11-30,3577315
Amen Bank (AB),44,2013-08-02,832700
Amen Bank (AB),122,2011-04-20,1344196
Banque Nationale Agricole (BNA),152,2002-04-05,1825672
Arab Banking Corporation (ABC),186,2006-01-13,3226914
Banque Tuniso-Libyenne (BTL),79,2023-12-22,1333599
Attijari Bank,177,2004-06-29,2838018
Banque Internationale Arabe de Tunisie (BIAT),142,2011-01-22,2322978
Arab Banking Corporation (ABC),82,2002-03-29,1241234
Attijari Bank,120,2017-02-03,1470720
Banque Tuniso-Libyenne (BTL),151,2006-02-06,1799014
Amen Bank (AB),150,2004-08-23,1745550
Banque Tuniso-Libyenne (BTL),149,2006-04-16,2109840
La Poste Tunisienne,198,2010-06-16,2666862
Banque Nationale Agricole (BNA),162,2002-12-07,1836918
Attijari Bank,177,2007-06-03,2957493
La Poste Tunisienne,172,2010-05-13,2591352
Attijari Bank,171,2005-03-21,1979838
Arab Tunisian Bank (ATB),60,2016-05-18,1081740
Arab Tunisian Bank (ATB),152,2008-06-14,1718360
La Poste Tunisienne,162,2022-05-01,1647054
Banque Tuniso-Libyenne (BTL),84,2004-12-17,1119132
La Poste Tunisienne,47,2004-04-20,575562
Attijari Bank,150,2004-03-23,2483250
Banque de Tunisie (BT),190,2010-01-30,2447200
Attijari Bank,136,2021-01-18,2111944
Arab Tunisian Bank (ATB),99,2013-10-30,1683396
Banque Tuniso-Libyenne (BTL),167,2009-02-19,2582321
La Poste Tunisienne,125,2013-08-21,2395875
Banque Nationale Agricole (BNA),172,2007-02-07,2128328
Amen Bank (AB),125,2022-12-04,1643125
Amen Bank (AB),138,2008-10-20,1685946
Attijari Bank,58,2017-01-02,591136
Banque Internationale Arabe de Tunisie (BIAT),128,2015-10-16,2241920
Attijari Bank,159,2001-09-14,1602243
Banque de Tunisie (BT),148,2020-11-25,2222664
Attijari Bank,69,2019-07-15,800400
Banque de Tunisie (BT),129,2016-01-21,1967250
Arab Banking Corporation (ABC),133,2022-07-26,1735916
Attijari Bank,52,2013-09-26,807664
Amen Bank (AB),153,2015-12-22,2762262
Banque de l'Habitat (BH),145,2023-07-23,2238800
Banque de Tunisie (BT),20,2000-09-01,315340
Banque de Tunisie (BT),47,2004-05-21,732636
Banque de Tunisie (BT),71,2004-08-24,784195
La Poste Tunisienne,142,2015-12-13,1998792
Attijari Bank,130,2011-01-07,2264600
Banque Internationale Arabe de Tunisie (BIAT),81,2006-03-14,864270
Arab Banking Corporation (ABC),127,2004-03-31,1678813
Banque de l'Habitat (BH),114,2010-01-11,1700538
Banque de Tunisie (BT),96,2022-04-21,1147872
Banque de Tunisie (BT),58,2016-11-07,1113774
Banque de l'Habitat (BH),194,2002-07-10,3177720
Attijari Bank,51,2016-12-02,611388
Attijari Bank,198,2019-03-22,3554496
Arab Tunisian Bank (ATB),57,2018-10-07,695058
Banque de l'Habitat (BH),59,2002-10-04,918040
Arab Tunisian Bank (ATB),128,2011-04-26,2412288
Banque Tuniso-Libyenne (BTL),135,2010-04-23,2505465
Banque Internationale Arabe de Tunisie (BIAT),133,2010-06-19,1703331
Amen Bank (AB),148,2006-06-15,2665924
Arab Banking Corporation (ABC),197,2022-07-21,2072440
La Poste Tunisienne,148,2012-01-07,2477964
Amen Bank (AB),121,2009-02-12,1889294
Banque Nationale Agricole (BNA),127,2003-04-23,1683639
La Poste Tunisienne,46,2020-12-16,765946
Banque Internationale Arabe de Tunisie (BIAT),125,2021-04-26,2282125
Arab Banking Corporation (ABC),67,2010-10-29,915890
Banque de l'Habitat (BH),72,2014-02-22,1215072
Amen Bank (AB),56,2003-08-08,937944
Attijari Bank,77,2010-02-15,795872
Attijari Bank,119,2014-10-08,2029426
Banque Tuniso-Libyenne (BTL),174,2007-01-24,1822650
Arab Tunisian Bank (ATB),75,2020-12-13,1229700
Banque Nationale Agricole (BNA),77,2004-12-26,862939
Amen Bank (AB),169,2022-03-10,2825342
Banque Tuniso-Libyenne (BTL),130,2022-02-02,1924260
Amen Bank (AB),146,2019-11-25,2204162
Banque de Tunisie (BT),119,2007-06-16,2375359
Arab Tunisian Bank (ATB),74,2023-09-08,955044
Banque Internationale Arabe de Tunisie (BIAT),104,2010-10-15,1457144
Arab Banking Corporation (ABC),169,2010-02-24,3276403
Arab Banking Corporation (ABC),104,2021-05-26,1361984
Banque de l'Habitat (BH),135,2023-12-13,1474875
Attijari Bank,188,2022-07-08,1970992
Banque Internationale Arabe de Tunisie (BIAT),139,2022-01-25,1564445
Banque Nationale Agricole (BNA),34,2017-01-04,467908
Banque Internationale Arabe de Tunisie (BIAT),89,2016-05-30,1157267
Attijari Bank,166,2002-12-06,2676086
Banque Nationale Agricole (BNA),182,2020-05-10,2272452
Attijari Bank,44,2017-10-03,705320
Banque Tuniso-Libyenne (BTL),34,2023-02-04,376108
La Poste Tunisienne,35,2017-12-12,450590
Banque de l'Habitat (BH),171,2019-06-11,2652723
Amen Bank (AB),125,2020-07-22,1949000
La Poste Tunisienne,85,2021-01-26,1329655
Banque Nationale Agricole (BNA),51,2018-10-22,523872
Banque Internationale Arabe de Tunisie (BIAT),148,2014-12-14,2803564
Banque de l'Habitat (BH),64,2019-07-06,1279808
Banque Internationale Arabe de Tunisie (BIAT),87,2002-02-23,1350762
Amen Bank (AB),85,2004-08-02,1023145
Arab Banking Corporation (ABC),124,2020-05-26,1306464
Attijari Bank,60,2018-11-02,1145940
Banque Tuniso-Libyenne (BTL),143,2002-10-04,2797795
La Poste Tunisienne,44,2004-01-04,546832
Banque Nationale Agricole (BNA),115,2001-07-05,2131640
Arab Banking Corporation (ABC),47,2016-06-18,737148
Banque de l'Habitat (BH),58,2019-06-07,828124
Banque Tuniso-Libyenne (BTL),69,2017-10-20,979386
Banque Nationale Agricole (BNA),174,2007-04-17,2983578
Banque Nationale Agricole (BNA),160,2005-01-24,3031200
Banque Nationale Agricole (BNA),105,2001-01-22,1633170
Banque Tuniso-Libyenne (BTL),77,2018-03-04,1110263
Banque de l'Habitat (BH),171,2020-05-19,2089107
Banque Tuniso-Libyenne (BTL),189,2001-04-12,2532789
Arab Banking Corporation (ABC),181,2022-06-06,1865386
Banque Tuniso-Libyenne (BTL),176,2012-11-14,2093344
Banque de Tunisie (BT),192,2019-10-10,3392832
Banque Internationale Arabe de Tunisie (BIAT),95,2007-01-15,1587450
Banque Nationale Agricole (BNA),23,2007-04-30,385181
Banque Nationale Agricole (BNA),150,2009-06-18,2575800
Arab Tunisian Bank (ATB),199,2006-05-27,2015671
Banque de l'Habitat (BH),111,2010-03-30,2000997
La Poste Tunisienne,107,2013-02-20,1168654
Attijari Bank,86,2019-11-24,1241496
La Poste Tunisienne,85,2017-02-28,1660985
Amen Bank (AB),128,2005-10-30,2119424
Banque Nationale Agricole (BNA),45,2007-08-29,555975
Arab Tunisian Bank (ATB),177,2011-04-13,1900449
Amen Bank (AB),117,2008-03-04,2032524
Amen Bank (AB),75,2001-05-01,945525
Banque de l'Habitat (BH),170,2007-03-30,2377790
Arab Tunisian Bank (ATB),188,2023-01-23,1904816
Arab Tunisian Bank (ATB),82,2023-08-24,1633030
Banque de l'Habitat (BH),46,2023-12-12,490084
Banque Tuniso-Libyenne (BTL),147,2017-08-01,2325246
Arab Tunisian Bank (ATB),101,2012-06-09,1556511
La Poste Tunisienne,144,2014-08-09,2067696
Banque Tuniso-Libyenne (BTL),187,2017-11-11,3677168
Amen Bank (AB),189,2015-08-26,3678885
La Poste Tunisienne,33,2018-10-22,511698
Banque de l'Habitat (BH),73,2002-01-16,1008495
La Poste Tunisienne,153,2002-04-18,1551114
La Poste Tunisienne,111,2018-05-11,1773114
La Poste Tunisienne,114,2011-08-23,1772700
Arab Tunisian Bank (ATB),109,2012-04-21,1104824
Banque de l'Habitat (BH),119,2017-10-10,2123317
Banque Internationale Arabe de Tunisie (BIAT),132,2022-03-04,1428768
Attijari Bank,182,2016-04-11,3427424
Attijari Bank,131,2008-03-30,2395597
Amen Bank (AB),177,2009-06-28,2348790
Arab Tunisian Bank (ATB),67,2015-01-10,671072
Amen Bank (AB),192,2019-09-27,2871936
Banque de l'Habitat (BH),176,2001-07-01,2919840
Banque de Tunisie (BT),21,2001-10-19,361221
Arab Banking Corporation (ABC),148,2017-07-07,2579788
La Poste Tunisienne,197,2012-09-23,3115358
La Poste Tunisienne,28,2009-08-10,370020
Banque Internationale Arabe de Tunisie (BIAT),63,2015-07-02,1126818
Attijari Bank,184,2018-10-23,2130168
La Poste Tunisienne,52,2013-02-07,749216
La Poste Tunisienne,132,2008-03-08,2361216
Banque Internationale Arabe de Tunisie (BIAT),139,2006-02-01,2240958
Arab Tunisian Bank (ATB),148,2019-05-18,1976096
Attijari Bank,79,2011-09-04,1440565
Banque Nationale Agricole (BNA),62,2006-08-09,1168142
La Poste Tunisienne,20,2007-12-29,360500
Banque Nationale Agricole (BNA),66,2022-07-26,881430
Amen Bank (AB),52,2009-02-09,752232
Attijari Bank,185,2013-08-12,2887295
Banque Nationale Agricole (BNA),126,2006-04-29,2320164
Banque Internationale Arabe de Tunisie (BIAT),144,2022-06-28,2174688
Attijari Bank,121,2005-02-10,2301541
Banque Nationale Agricole (BNA),171,2011-11-19,2786958
Banque Internationale Arabe de Tunisie (BIAT),40,2016-11-09,595840
Attijari Bank,156,2012-04-02,2143596
La Poste Tunisienne,189,2021-11-28,3192588
La Poste Tunisienne,162,2011-12-30,1691280
Attijari Bank,100,2020-06-07,1541400
Arab Tunisian Bank (ATB),199,2008-12-23,2647496
Amen Bank (AB),35,2005-04-26,668255
Banque Internationale Arabe de Tunisie (BIAT),159,2023-08-27,2287215
Banque de l'Habitat (BH),196,2012-01-15,2300648
Banque de Tunisie (BT),159,2013-10-31,3156786
La Poste Tunisienne,87,2015-12-18,1192509
Banque Internationale Arabe de Tunisie (BIAT),118,2012-08-20,1986412
Banque Internationale Arabe de Tunisie (BIAT),76,2007-06-09,1349608
Banque Tuniso-Libyenne (BTL),138,2000-07-04,2269824
Attijari Bank,96,2018-11-30,1603872
Arab Tunisian Bank (ATB),104,2016-05-02,2045784
Banque Internationale Arabe de Tunisie (BIAT),182,2001-09-09,2754024
Banque Nationale Agricole (BNA),65,2015-01-24,855920
Banque de Tunisie (BT),163,2020-09-07,3057554
Arab Tunisian Bank (ATB),37,2005-09-13,604099
Banque de l'Habitat (BH),78,2011-03-18,1100346
Banque Nationale Agricole (BNA),43,2022-02-02,625177
Banque Tuniso-Libyenne (BTL),97,2012-06-05,1452963
Banque de Tunisie (BT),119,2023-10-08,1434307
La Poste Tunisienne,53,2022-08-27,746929
Banque Internationale Arabe de Tunisie (BIAT),77,2016-11-19,1098482
La Poste Tunisienne,93,2009-03-24,1833867
Banque Tuniso-Libyenne (BTL),53,2016-04-15,627467
La Poste Tunisienne,52,2005-11-09,973700
Banque Nationale Agricole (BNA),35,2013-06-30,590520
Banque Internationale Arabe de Tunisie (BIAT),23,2015-02-15,258819
Amen Bank (AB),47,2022-08-02,832323
Banque de l'Habitat (BH),185,2015-07-03,3510005
La Poste Tunisienne,130,2003-08-23,2232490
Banque de Tunisie (BT),69,2003-11-01,839385
Attijari Bank,67,2008-12-26,889559
Banque de Tunisie (BT),141,2008-06-14,2362032
La Poste Tunisienne,22,2007-08-15,432652
Banque Internationale Arabe de Tunisie (BIAT),31,2018-10-02,566339
Banque de l'Habitat (BH),134,2023-04-03,1904676
Banque de l'Habitat (BH),32,2005-03-20,594336
La Poste Tunisienne,127,2007-09-09,1513840
La Poste Tunisienne,84,2015-08-28,1324596
Banque Internationale Arabe de Tunisie (BIAT),31,2002-06-23,481182
Arab Banking Corporation (ABC),35,2013-10-09,615965
Banque Internationale Arabe de Tunisie (BIAT),187,2006-09-24,2100197
Banque de Tunisie (BT),102,2023-05-04,1231038
Banque de l'Habitat (BH),81,2015-07-24,1244646
Attijari Bank,76,2001-10-29,1044164
Banque de l'Habitat (BH),132,2005-06-17,1655544
Attijari Bank,128,2006-05-28,1504256
Banque Tuniso-Libyenne (BTL),196,2016-09-29,3224788
Banque Internationale Arabe de Tunisie (BIAT),51,2017-02-06,520965
Arab Tunisian Bank (ATB),84,2004-10-06,1041180
Attijari Bank,55,2006-11-25,992200
Arab Banking Corporation (ABC),101,2004-01-20,1439452
Banque Nationale Agricole (BNA),55,2014-05-16,815815
Arab Banking Corporation (ABC),66,2012-08-31,1220934
Attijari Bank,110,2021-03-03,1238160
Arab Banking Corporation (ABC),123,2016-11-25,1980546
La Poste Tunisienne,110,2023-11-26,1263790
Arab Banking Corporation (ABC),96,2010-07-05,1111200
Banque de Tunisie (BT),185,2015-09-21,3310020
La Poste Tunisienne,103,2019-07-29,1636670
Amen Bank (AB),90,2017-01-31,971910
Arab Tunisian Bank (ATB),110,2012-10-10,1967570
La Poste Tunisienne,74,2016-02-03,1403706
La Poste Tunisienne,87,2006-02-25,1357548
Banque de Tunisie (BT),174,2012-06-28,2556930
Amen Bank (AB),150,2000-08-08,1550550
Arab Banking Corporation (ABC),61,2005-02-09,795745
La Poste Tunisienne,88,2009-08-18,1725592
Arab Tunisian Bank (ATB),94,2004-12-19,1824634
Arab Tunisian Bank (ATB),135,2001-12-31,2089800
Banque de Tunisie (BT),119,2003-03-09,2160802
Banque Internationale Arabe de Tunisie (BIAT),51,2018-08-15,671772
Banque de l'Habitat (BH),58,2012-10-01,726276
